target,native,Part of Speech
sospechoso,suspect,noun
naturaleza,nature,noun
silla,chair,noun
arreglar,to fix,verb
obtener,to obtain,verb
señoría,Your Honor,noun
cantidad,quantity,noun
papa,Pope,noun
llorar,to cry,verb
familiar,family,adjective
desastre,disaster,noun
política,politics,noun
nosotras,we (feminine),pronoun
enfermedad,illness,noun
colega,colleague,noun
príncipe,prince,noun
verde,green,adjective
nervioso,nervous,adjective
inspector,inspector,noun
servir,to serve,verb
playa,beach,noun
cantar,to sing,verb
velocidad,speed,noun
total,total,adjective
cabello,hair,noun
suficientemente,sufficiently,adverb
huella,trace,noun
unidad,unit,noun
cuchillo,knife,noun
tontería,nonsense,noun
emergencia,emergency,noun
robo,robbery,noun
permitir,to permit,verb
parque,park,noun
roto,broken,adjective
serie,series,noun
evidencia,evidence,noun
botella,bottle,noun
viento,wind,noun
mando,command,noun
apoyo,support,noun
bala,bullet,noun
tiro,shot,noun
época,era,noun
puente,bridge,noun
distancia,distance,noun
desear,to wish,verb
pelear,to fight,verb
echar,to throw,verb
descanso,break,noun
área,area,noun
orgulloso,proud,adjective
dato,data,noun
espectáculo,show,noun
magia,magic,noun
nacional,national,adjective
universo,universe,noun
nariz,nose,noun
vergüenza,shame,noun
monstruo,monster,noun
princesa,princess,noun
autobús,bus,noun
cuidar,to take care of,verb
huevo,egg,noun
paseo,walk,noun
detalle,detail,noun
belleza,beauty,noun
abierto,open,adjective
enviar,to send,verb
ministro,minister,noun
conducir,to drive,verb
aceptar,to accept,verb
contrato,contract,noun
viernes,Friday,noun
hecho,fact,noun
sociedad,society,noun
carga,load,noun
presente,present,adjective
uso,use,noun
dedo,finger,noun
oferta,offer,noun
proteger,to protect,verb
recibir,to receive,verb
agradecer,to thank,verb
robar,to steal,verb
enamorado,in love,adjective
oeste,west,noun
herida,wound,noun
despacio,slowly,adverb
directamente,directly,adverb
inmediato,immediate,adjective
profesional,professional,noun
oscuro,dark,adjective
mercado,market,noun
cerdo,pig,noun
líder,leader,noun
jurado,jury,noun
acordar,to agree,verb
desaparecido,missing,adjective
últimamente,lately,adverb
piedra,stone,noun
intención,intention,noun
humor,humor,noun
ángel,angel,noun
peso,weight,noun
asesinar,to assassinate,verb
directo,direct,adjective
central,central,adjective
contento,happy,adjective
oscuridad,darkness,noun
actuar,to act,verb
comenzar,to begin,verb
privado,private,adjective
mirada,look,noun
romper,to break,verb
fiscal,prosecutor,noun
jardín,garden,noun
natural,natural,adjective
gratis,free,adjective
costar,to cost,verb
amenaza,threat,noun
